binID	qvalue	predicted_accuracy	damage_model_p	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4
ECO002_001	0.0000	1.0000	0.2945	0.5225	0.3760	0.2485	0.1820	0.1430
ECO002_002	0.0000	1.0000	0.3190	0.5100	0.3440	0.2270	0.1630	0.1230
ECO002_003	1.0000	0.1670	0.9900	0.0000	0.0000	0.0000	0.0000	0.0000
ECO002_004	0.0000	1.0000	0.3200	0.4920	0.3465	0.2170	0.1590	0.1190
ECO002_005	0.0000	1.0000	0.3180	0.5500	0.3730	0.2420	0.1750	0.1270
ECO002_006	0.0000	1.0000	0.3335	0.4665	0.3235	0.1975	0.1430	0.1080
ECO002_007	0.0000	1.0000	0.3050	0.5000	0.3480	0.2255	0.1615	0.1270
ECO002_008	0.0000	1.0000	0.3210	0.5335	0.3570	0.2380	0.1690	0.1270
ECO002_009	0.0000	1.0000	0.3290	0.5140	0.3420	0.2210	0.1610	0.1190
ECO002_010	0.0000	1.0000	0.2980	0.5220	0.3705	0.2420	0.1730	0.1370
ECO002_011	0.0000	1.0000	0.3540	0.4650	0.3090	0.1880	0.1320	0.0970
ECO002_012	0.0000	1.0000	0.2920	0.4910	0.3570	0.2340	0.1740	0.1320
ECO002_013	0.0000	1.0000	0.3625	0.4770	0.3145	0.1910	0.1310	0.0950
ECO004_001	0.0000	1.0000	0.2960	0.5040	0.3690	0.2380	0.1750	0.1350
ECO004_002	0.0000	1.0000	0.2830	0.5880	0.4260	0.2920	0.2080	0.1670
ECO004_003	1.0000	0.1900	0.5090	0.0000	0.0000	0.0000	0.0000	0.0000
ECO004_004	0.0000	1.0000	0.3265	0.5720	0.3730	0.2565	0.1775	0.1300
ECO004_005	0.8310	0.2450	0.3885	0.0000	0.0000	0.0000	0.0000	0.0000
ECO004_006	0.0000	1.0000	0.3060	0.5420	0.3790	0.2490	0.1790	0.1380
ECO004_007	0.0000	1.0000	0.3380	0.4970	0.3270	0.2070	0.1520	0.1130
ECO004_008	0.0000	1.0000	0.2870	0.5270	0.3750	0.2540	0.1870	0.1500
ECO010_001	0.0000	1.0000	0.3010	0.5290	0.3800	0.2450	0.1790	0.1400
ECO010_002	0.0000	1.0000	0.3160	0.4880	0.3310	0.2190	0.1610	0.1210
ECO010_003	0.0000	1.0000	0.3370	0.5230	0.3420	0.2230	0.1610	0.1170
ECO010_004	0.0000	1.0000	0.3490	0.4670	0.3115	0.1910	0.1360	0.1030
ECO010_005	0.0000	1.0000	0.3110	0.5500	0.3715	0.2440	0.1800	0.1330
ECO010_006	0.0000	1.0000	0.3160	0.5120	0.3560	0.2300	0.1690	0.1280
ECO010_007	0.0000	1.0000	0.3220	0.5270	0.3480	0.2320	0.1720	0.1275
ECO010_008	0.0000	1.0000	0.3075	0.5105	0.3530	0.2320	0.1705	0.1335
EMN001_001	0.0000	0.9750	0.4595	0.2500	0.1340	0.0710	0.0480	0.0380
EMN001_002	0.0000	0.9990	0.3315	0.4000	0.2405	0.1600	0.1190	0.0910
EMN001_003	0.0030	0.9710	0.3595	0.2100	0.0910	0.0000	0.0000	0.0000
EMN001_004	0.2730	0.4260	0.4190	0.0000	0.0000	0.0000	0.0000	0.0000
EMN001_005	0.0000	0.9865	0.4605	0.2500	0.1385	0.0680	0.0485	0.0420
EMN001_006	0.0000	0.9980	0.4520	0.3170	0.1660	0.0960	0.0720	0.0560
EMN001_007	0.0000	0.9940	0.4220	0.2730	0.1520	0.0910	0.0650	0.0550
EMN001_008	0.0000	0.9980	0.3450	0.3900	0.2310	0.1540	0.1110	0.0830
EMN001_009	0.0000	0.9990	0.3545	0.4170	0.2380	0.1670	0.1110	0.0770
EMN001_010	0.0000	0.9910	0.4570	0.2570	0.1390	0.0800	0.0575	0.0440
EMN001_011	0.0000	1.0000	0.3770	0.4230	0.2500	0.1620	0.1160	0.0880
EMN001_012	0.0000	0.9890	0.4150	0.2860	0.1670	0.0910	0.0650	0.0490
EMN001_013	0.0000	0.9980	0.3980	0.3840	0.2170	0.1330	0.1000	0.0720
EMN001_015	0.0040	0.9940	0.4450	0.3330	0.1330	0.0000	0.0000	0.0000
EMN001_016	0.0000	0.9980	0.3780	0.3755	0.2150	0.1405	0.1070	0.0765
EMN001_017	0.0000	0.9850	0.4600	0.2745	0.1430	0.0800	0.0580	0.0485
EMN001_018	0.0000	0.9990	0.4300	0.3430	0.1910	0.1130	0.0840	0.0630
EMN001_019	0.0000	1.0000	0.4380	0.3350	0.1860	0.1060	0.0780	0.0580
EMN001_020	0.0000	0.9950	0.4185	0.3250	0.1765	0.1090	0.0770	0.0580
EMN001_021	0.0000	1.0000	0.4550	0.3130	0.1670	0.0930	0.0650	0.0470
EMN001_022	0.0000	0.9930	0.3720	0.3025	0.1745	0.1130	0.0880	0.0620
EMN001_023	0.0000	0.9940	0.4540	0.3280	0.1760	0.0910	0.0710	0.0560
EMN001_024	0.0000	0.9950	0.3930	0.3330	0.2000	0.1250	0.0800	0.0620
EMN001_025	0.0000	0.9945	0.4045	0.2740	0.1565	0.0915	0.0705	0.0535
EMN001_026	0.0000	0.9950	0.3700	0.3330	0.1850	0.1110	0.0830	0.0610
EMN001_027	0.0000	0.9930	0.4270	0.3090	0.1690	0.1010	0.0700	0.0590
EMN001_028	0.0000	0.9990	0.3530	0.4000	0.2500	0.1540	0.1180	0.0830
EMN001_029	0.0020	0.9900	0.4015	0.2860	0.1290	0.0000	0.0000	0.0000
EMN001_030	0.0000	0.9970	0.4450	0.3530	0.1820	0.1110	0.0620	0.0000
ESA006_001	0.0000	0.8750	0.1640	0.1440	0.1110	0.0870	0.0850	0.0750
ESA006_002	0.0000	0.5660	0.2070	0.0660	0.0570	0.0390	0.0330	0.0280
ESA006_003	0.0000	0.7835	0.1850	0.1170	0.0860	0.0675	0.0650	0.0560
ESA006_004	0.0000	0.6950	0.1910	0.1000	0.0760	0.0560	0.0520	0.0470
ESA007_001	0.0000	0.5230	0.1690	0.0480	0.0420	0.0340	0.0310	0.0290
ESA007_002	0.0010	0.4480	0.2565	0.0360	0.0300	0.0210	0.0190	0.0140
ESA008_001	0.0000	0.5680	0.2030	0.0685	0.0570	0.0440	0.0370	0.0360
ESA008_002	0.0000	0.6170	0.1550	0.0610	0.0530	0.0410	0.0400	0.0370
FUM002_001	0.0000	0.9980	0.4700	0.3705	0.2025	0.1105	0.0980	0.0740
FUM002_002	0.0000	1.0000	0.4460	0.4050	0.2210	0.1290	0.1100	0.0820
FUM002_003	0.0000	1.0000	0.4280	0.4250	0.2420	0.1430	0.1200	0.0890
FUM002_004	0.0000	1.0000	0.4570	0.3930	0.2180	0.1250	0.1040	0.0780
FUM002_005	0.0000	0.9990	0.4800	0.3780	0.2000	0.1110	0.0910	0.0680
FUM002_006	0.0000	0.9990	0.4680	0.3870	0.2160	0.1170	0.0930	0.0680
FUM002_007	0.0000	1.0000	0.3920	0.5490	0.3250	0.2050	0.1610	0.1120
FUM002_008	0.0000	0.9990	0.4700	0.3880	0.2050	0.1180	0.0980	0.0720
FUM003_001	0.0000	0.8840	0.2670	0.0070	0.0050	0.0030	0.0040	0.0030
FUM003_002	0.0000	0.9505	0.2865	0.0070	0.0050	0.0030	0.0040	0.0030
GOY005_001	0.0000	0.8870	0.2960	0.1600	0.1030	0.0670	0.0640	0.0430
GOY005_002	0.0000	0.9930	0.2220	0.3250	0.2260	0.1760	0.1570	0.1250
GOY005_003	0.0000	0.7140	0.3760	0.1140	0.0650	0.0420	0.0340	0.0260
GOY005_004	0.0000	0.9900	0.2300	0.3040	0.2160	0.1600	0.1500	0.1250
GOY005_005	1.0000	0.1560	0.9900	0.0000	0.0000	0.0000	0.0000	0.0000
GOY005_006	1.0000	0.2615	0.6980	0.0000	0.0000	0.0000	0.0000	0.0000
GOY005_007	1.0000	0.2060	0.3500	0.0000	0.0000	0.0000	0.0000	0.0000
