accession Id	name	NCBI taxonomy Id
GCA_023230685.1	Anaerolineaceae bacterium	2024896
GCA_022866465.1	Anaerolineaceae bacterium	2024896
GCA_022866355.1	Anaerolineaceae bacterium	2024896
GCA_022866165.1	Anaerolineaceae bacterium	2024896
GCA_022840475.1	Anaerolineaceae bacterium	2024896
GCA_022837735.1	Longilinea sp.	2478918
GCA_022837205.1	Leptolinea sp.	2699749
GCA_022729805.1	Anaerolinea thermophila	167964
GCA_022729775.1	Anaerolinea thermophila	167964
GCA_927443345.1	uncultured Anaerolineaceae bacterium	310067
GCA_022181005.1	Anaerolineaceae bacterium	2024896
GCA_022180925.1	Anaerolineaceae bacterium	2024896
GCA_022180865.1	Anaerolineaceae bacterium	2024896
GCA_021162405.1	Anaerolineaceae bacterium	2024896
GCA_021162105.1	Anaerolineaceae bacterium	2024896
GCA_021160025.1	Anaerolineaceae bacterium	2024896
GCA_021107655.1	Anaerolineaceae bacterium	2024896
GCA_021107195.1	Anaerolineaceae bacterium	2024896
GCA_020845515.1	Anaerolineaceae bacterium	2024896
GCA_020725865.1	Anaerolinea sp.	1872519
GCA_020725765.1	Anaerolinea sp.	1872519
GCA_020725715.1	Anaerolinea sp.	1872519
GCA_020725705.1	Anaerolinea sp.	1872519
GCA_020724505.1	Anaerolinea thermophila	167964
GCA_020723905.1	Anaerolinea thermophila	167964
GCA_020723885.1	Anaerolinea thermophila	167964
GCA_020723805.1	Anaerolinea sp.	1872519
GCA_020722405.1	Anaerolinea thermophila	167964
GCA_020722415.1	Anaerolinea sp.	1872519
GCA_020722375.1	Anaerolinea thermophila	167964
GCA_020722345.1	Anaerolinea thermophila	167964
GCA_020722305.1	Anaerolinea thermophila	167964
GCA_020722265.1	Anaerolinea sp.	1872519
GCA_020721605.1	Anaerolinea thermophila	167964
GCA_020720965.1	Anaerolinea sp.	1872519
GCA_020720285.1	Anaerolinea sp.	1872519
GCA_020718485.1	Anaerolinea sp.	1872519
GCA_020717805.1	Anaerolinea sp.	1872519
GCA_020634955.1	Anaerolineaceae bacterium	2024896
GCA_020634165.1	Anaerolineaceae bacterium	2024896
GCA_020634135.1	Anaerolineaceae bacterium	2024896
GCA_020634115.1	Anaerolineaceae bacterium	2024896
GCA_020350285.1	Anaerolineaceae bacterium	2024896
GCA_020344355.1	Anaerolineaceae bacterium	2024896
GCA_020216845.1	Anaerolinea sp.	1872519
GCA_020049345.1	Anaerolinea sp.	1872519
GCA_020049195.1	Anaerolinea sp.	1872519
GCA_020048375.1	Anaerolinea sp.	1872519
GCA_020047815.1	Anaerolinea sp.	1872519
GCA_019653515.1	Anaerolineaceae bacterium	2024896
GCA_019429225.1	Anaerolineaceae bacterium	2024896
GCA_019428905.1	Brevefilum sp.	2019484
GCA_018435755.1	Anaerolineaceae bacterium	2024896
GCA_018435285.1	Anaerolineaceae bacterium	2024896
GCA_018434825.1	Anaerolineaceae bacterium	2024896
GCA_018434785.1	Anaerolineaceae bacterium	2024896
GCF_018433975.1	Ornatilinea sp.	2080239
GCA_018432465.1	Anaerolineaceae bacterium	2024896
GCA_018060515.1	Anaerolineaceae bacterium	2024896
GCA_018057145.1	Anaerolineaceae bacterium	2024896
GCA_018056725.1	Anaerolineaceae bacterium	2024896
GCA_018056295.1	Flexilinea sp.	2017390
GCA_018055445.1	Anaerolineaceae bacterium	2024896
GCA_018000745.1	Longilinea sp.	2478918
GCA_018000335.1	Anaerolineaceae bacterium	2024896
GCA_017996955.1	Longilinea sp.	2478918
GCA_017995665.1	Anaerolineaceae bacterium	2024896
GCA_017995555.1	Anaerolineaceae bacterium	2024896
GCA_017994325.1	Anaerolineaceae bacterium	2024896
GCA_017993925.1	Anaerolineaceae bacterium	2024896
GCA_017993575.1	Anaerolineaceae bacterium	2024896
GCA_017984735.1	Pelolinea sp.	1966340
GCA_017984415.1	Anaerolineaceae bacterium	2024896
GCA_017884865.1	Anaerolineaceae bacterium	2024896
GCA_017884585.1	Anaerolineaceae bacterium	2024896
GCA_905372085.1	Anaerolineaceae bacterium oral taxon 439	1889813
GCA_905234325.1	uncultured Anaerolineaceae bacterium	310067
GCA_017542315.1	Anaerolineaceae bacterium	2024896
GCA_017433665.1	Flexilinea sp.	2017390
GCA_017433515.1	Anaerolineaceae bacterium	2024896
GCA_017432985.1	Anaerolineaceae bacterium	2024896
GCA_017432945.1	Anaerolineaceae bacterium	2024896
GCA_017432685.1	Flexilinea sp.	2017390
GCA_017417055.1	Anaerolineaceae bacterium	2024896
GCA_017312345.1	Candidatus Denitrolinea symbiosum	2608986
GCA_016936755.1	Anaerolineaceae bacterium	2024896
GCA_016932185.1	Anaerolineaceae bacterium	2024896
GCA_016927865.1	Anaerolineaceae bacterium	2024896
GCA_016841525.1	Anaerolineaceae bacterium	2024896
GCA_016841445.1	Anaerolineaceae bacterium	2024896
GCA_016841365.1	Anaerolineaceae bacterium	2024896
GCA_016713825.1	Anaerolineaceae bacterium	2024896
GCA_016710325.1	Anaerolineaceae bacterium	2024896
GCA_016342545.1	Anaerolineaceae bacterium	2024896
GCA_016342475.1	Anaerolineaceae bacterium	2024896
GCA_016124855.1	Anaerolineaceae bacterium	2024896
GCA_015709355.1	Anaerolineaceae bacterium	2024896
GCA_015709275.1	Anaerolineaceae bacterium	2024896
GCA_015662055.1	Anaerolineaceae bacterium	2024896
GCA_014879875.1	Anaerolinea sp.	1872519
GCA_014879865.1	Anaerolinea sp.	1872519
GCA_014879835.1	Anaerolinea sp.	1872519
GCA_014879765.1	Anaerolinea sp.	1872519
GCA_014860845.1	Anaerolineaceae bacterium	2024896
GCA_014860825.1	Anaerolineaceae bacterium	2024896
GCA_903828565.1	uncultured Leptolinea sp.	904068
GCA_903889865.1	uncultured Anaerolineaceae bacterium	310067
GCA_013824865.1	Anaerolinea sp.	1872519
GCA_013824805.1	Anaerolinea sp.	1872519
GCA_013824745.1	Anaerolinea sp.	1872519
GCA_013824605.1	Anaerolinea sp.	1872519
GCA_013824385.1	Anaerolinea sp.	1872519
GCA_013822395.1	Anaerolinea sp.	1872519
GCA_013822275.1	Anaerolinea sp.	1872519
GCA_903894255.1	uncultured Anaerolineaceae bacterium	310067
GCA_013336335.1	Anaerolineaceae bacterium	2024896
GCA_013335895.1	Anaerolineaceae bacterium	2024896
GCA_013334685.1	Anaerolineaceae bacterium	2024896
GCA_012839565.1	Anaerolineaceae bacterium	2024896
GCA_012798535.1	Leptolinea sp.	2699749
GCA_012797975.1	Pelolinea sp.	1966340
GCA_012797695.1	Anaerolineaceae bacterium	2024896
GCA_012515195.1	Leptolinea sp.	2699749
GCA_012514775.1	Anaerolineaceae bacterium	2024896
GCA_900299355.1	Anaerolineaceae bacterium	2024896
GCA_011682595.1	Anaerolineaceae bacterium	2024896
GCA_011620545.1	Brevefilum sp.	2019484
GCA_011620555.1	Anaerolineaceae bacterium	2024896
GCA_011620505.1	Anaerolineaceae bacterium	2024896
GCA_011620465.1	Anaerolineaceae bacterium	2024896
GCA_011620445.1	Anaerolineaceae bacterium	2024896
GCA_009885945.1	Anaerolineaceae bacterium	2024896
GCA_009885525.1	Anaerolineaceae bacterium	2024896
GCA_009885445.1	Anaerolineaceae bacterium	2024896
GCA_009772985.1	Anaerolineaceae bacterium	2024896
GCA_008635265.1	Anaerolineaceae bacterium	2024896
GCA_007693385.1	Anaerolineaceae bacterium	2024896
GCA_007135845.1	Brevefilum sp.	2019484
GCA_007119455.1	Brevefilum sp.	2019484
GCA_004294845.1	Anaerolineaceae bacterium	2024896
GCF_003966975.1	Pelolinea submarina	913107
GCA_003599805.1	Anaerolineaceae bacterium	2024896
GCA_003599285.1	Anaerolineaceae bacterium	2024896
GCA_003598975.1	Anaerolineaceae bacterium	2024896
GCA_003598935.1	Anaerolineaceae bacterium	2024896
GCA_003569365.1	Anaerolineaceae bacterium	2024896
GCA_003567435.1	Anaerolineaceae bacterium	2024896
GCA_003542325.1	Anaerolineaceae bacterium	2024896
GCA_003532515.1	Anaerolineaceae bacterium	2024896
GCA_003524305.1	Anaerolineaceae bacterium	2024896
GCA_003501835.1	Anaerolineaceae bacterium	2024896
GCA_003499715.1	Anaerolineaceae bacterium	2024896
GCA_003453955.1	Anaerolineaceae bacterium	2024896
GCA_003446605.1	Anaerolineaceae bacterium	2024896
GCA_003445715.1	Anaerolineaceae bacterium	2024896
GCA_003445515.1	Anaerolineaceae bacterium	2024896
GCF_001050195.2	Anaerolinea thermolimosa	229919
GCF_001050215.2	Bellilinea caldifistulae	360411
GCF_001050255.2	Levilinea saccharolytica	229921
GCA_003251375.1	Anaerolinea sp.	1872519
GCA_003158355.1	Anaerolineaceae bacterium	2024896
GCA_002730415.1	Anaerolineaceae bacterium	2024896
GCA_002727295.1	Anaerolineaceae bacterium	2024896
GCA_002724995.1	Anaerolineaceae bacterium	2024896
GCA_002702705.1	Anaerolineaceae bacterium	2024896
GCA_002702065.1	Anaerolineaceae bacterium	2024896
GCA_002699585.1	Anaerolineaceae bacterium	2024896
GCA_002699125.1	Anaerolineaceae bacterium	2024896
GCA_002452315.1	Anaerolineaceae bacterium UBA6801	1951443
GCA_002436085.1	Anaerolineaceae bacterium UBA6073	1951437
GCA_002436005.1	Anaerolineaceae bacterium UBA6086	1951438
GCA_002435825.1	Anaerolineaceae bacterium UBA6133	1951441
GCA_002432795.1	Anaerolineaceae bacterium UBA5838	1951436
GCA_002428455.1	Anaerolineaceae bacterium UBA6107	1951440
GCA_002424315.1	Anaerolineaceae bacterium UBA5440	1951433
GCA_002423495.1	Anaerolineaceae bacterium UBA6105	1951439
GCA_002422245.1	Anaerolineaceae bacterium UBA6170	1951442
GCA_002417685.1	Anaerolineaceae bacterium UBA5823	1951435
GCA_002412845.1	Anaerolineaceae bacterium UBA5199	1951421
GCA_002412765.1	Leptolinea sp. UBA5203	1946753
GCA_002412595.1	Anaerolineaceae bacterium UBA5211	1951422
GCA_002411175.1	Anaerolineaceae bacterium UBA5311	1951427
GCA_002410045.1	Anaerolineaceae bacterium UBA5355	1951429
GCA_002410005.1	Anaerolineaceae bacterium UBA5358	1951430
GCA_002409625.1	Anaerolineaceae bacterium UBA5404	1951432
GCA_002409015.1	Anaerolineaceae bacterium UBA5241	1951425
GCA_002407905.1	Anaerolineaceae bacterium UBA5365	1951431
GCA_002407845.1	Leptolinea sp. UBA5366	1946754
GCA_002403205.1	Anaerolineaceae bacterium UBA4775	1951411
GCA_002403105.1	Anaerolineaceae bacterium UBA4781	1951412
GCA_002403095.1	Leptolinea sp. UBA4782	1946752
GCA_002402725.1	Anaerolineaceae bacterium UBA4799	1951414
GCA_002399085.1	Anaerolineaceae bacterium UBA4890	1951417
GCA_002398025.1	Anaerolineaceae bacterium UBA4918	1951418
GCA_002385985.1	Anaerolineaceae bacterium UBA3924	1951408
GCA_002383615.1	Anaerolineaceae bacterium UBA4081	1951410
GCA_002347485.1	Anaerolineaceae bacterium UBA2260	1951405
GCA_002329625.1	Leptolinea sp. UBA1437	1946750
GCA_002306055.1	Anaerolineaceae bacterium UBA1363	1951402
GCA_002305635.1	Anaerolineaceae bacterium UBA1415	1951403
GCA_002305345.1	Leptolinea sp. UBA1387	1946749
GCA_002298885.1	Anaerolineaceae bacterium UBA700	1951444
GCF_900184705.1	Brevefilum fermentans	1986204
GCA_002085065.1	Anaerolinea sp. 4484_236	1968532
GCA_002084875.1	Anaerolineaceae bacterium 4572_78	1972460
