sample	alignedReads	totalReads	nContigs	meanBreadth	meanDepth	stdDepth
BAN001	96	24929320	11	0.000	0.562	0.992
BSQ001	766	20744859	17	0.006	0.999	0.530
DLV001	20	1578159	8	0.000	0.235	0.431
DLV002	6	146302	3	0.000	0.143	0.359
ECO002	16457	138768343	20	0.066	4.133	6.358
ECO004	9018	150151970	20	0.072	2.352	1.566
ECO006	783	21118476	16	0.004	1.119	0.771
ECO010	2581	42718432	19	0.049	2.010	1.016
EMN001	6993330	189466499	21	1.000	119.286	5.025
ESA003	706	19842423	18	0.009	1.259	0.645
ESA004	752	15633770	16	0.013	1.030	0.630
ESA006	96605	21690354	21	0.719	2.016	0.236
ESA007	79390	19093737	20	0.638	1.704	0.395
ESA008	1104	18069068	16	0.005	1.007	0.886
ElSidron1	4723	95779863	17	0.049	2.623	5.385
ElSidron2	3458	71793405	21	0.057	1.440	0.163
FUM001	438	17087811	16	0.026	1.133	0.959
FUM002	14074	101440187	21	0.215	1.506	1.504
FUM003	9876	37162639	21	0.086	1.170	0.095
GOY005	932337	252714602	21	0.962	21.301	4.181
GOY006	525993	42008879	21	0.940	11.015	2.223
GUE001	277	21083888	16	0.002	1.103	0.748
JAE006	2554	136507531	18	0.004	5.105	6.000
JAE007	2460	104759552	18	0.003	4.493	6.793
JAE008	1546	100515321	17	0.006	2.512	2.194
JAE009	1520	103018785	17	0.008	2.551	1.871
JAE010	1340	97073118	18	0.039	3.047	3.769
JAE012	2100	93467470	16	0.003	4.056	6.867
JAE013	1257	61253775	18	0.003	3.497	5.911
JAE014	1538	103544825	17	0.006	1.958	2.285
JAE015	3309	88438101	17	0.009	3.049	3.127
JAE016	6847	142369309	17	0.011	5.329	6.616
LIS001	1457	20678743	16	0.006	1.188	1.203
LIS002	1470	22842128	17	0.050	1.338	0.904
LIS003	1190	20407221	19	0.027	1.442	0.644
MOA001	1328	25288494	16	0.047	1.723	2.600
OAK001	787	21989675	19	0.011	1.297	0.521
OAK002	5397	175558479	20	0.022	3.584	2.426
OAK003	936	34114622	17	0.036	1.582	1.088
OAK004	860	27271316	18	0.022	1.332	0.712
OAK005	5045	86929213	19	0.026	3.403	3.595
OFN001	8237	231987190	21	0.059	3.192	1.299
PES001	2784287	125632680	21	0.973	51.262	9.266
PLV001	19079117	165070755	21	0.997	314.314	102.755
PYK001	2224	30267110	19	0.032	1.504	0.854
PYK002	1017	33789503	19	0.005	1.957	1.462
PYK003	1417	28804403	18	0.006	1.148	1.019
PYK004	1960	32531519	18	0.008	1.857	1.426
PYK005	2557	41407812	18	0.012	2.372	2.719
RIG001	6155371	176235843	21	0.990	82.316	18.489
SPM001	36	9122265	9	0.000	0.485	0.626
SPM002	82	6191314	11	0.001	0.595	0.599
Spy1	134	34298799	14	0.001	0.982	0.911
Spy2	259	7060628	11	0.001	1.917	2.433
TAF008	6970	114228341	18	0.062	2.986	2.368
TAF016	37	9122112	8	0.000	0.393	0.515
TAF017	2618352	17663236	20	0.883	31.205	7.312
TAF018	875	26733720	15	0.004	1.044	0.820
VLC001	1671	67081666	16	0.045	2.775	4.500
VLC002	574	31177646	17	0.019	1.388	0.943
VLC003	743	51535506	18	0.003	2.206	1.862
VLC004	780	85494014	17	0.003	1.969	1.951
VLC005	1160	86648329	18	0.006	2.446	2.933
VLC008	1764	70138815	15	0.006	2.397	3.069
VLC009	693	65622476	18	0.040	1.712	1.546
VLC010	344	37513542	13	0.003	0.943	0.831
VLD001	576	19741755	16	0.037	1.096	0.734
ZAF001	1239	33509960	19	0.008	1.341	0.653
