sample	assembler	binID	pass.MIMAG_high	pass.MIMAG_medium	pass.GUNC	GUNC.n_contigs	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.divergence_level	GUNC.contamination_portion	GUNC.n_effective_surplus_clades	GUNC.BRS	GUNC.CSS	checkM.lineage	checkM.genome_size	checkM.GC	checkM.coding_density	checkM.N50	checkM.longest_contig	checkM.mean_contig_length	checkM.translation_table	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	BUSCO_generic.D	BUSCO_generic.S	BUSCO_generic.F	BUSCO_generic.M	BUSCO_generic.T	BUSCO_specific.lineage	BUSCO_specific.D	BUSCO_specific.S	BUSCO_specific.F	BUSCO_specific.M	BUSCO_specific.T
PYK004	megahit	bin.1	False	True	True	789	1599	1548	kingdom	0.00	0.00	0.93	0.00	k__Bacteria (UID1452)	1252010	57.40	92.37	1580	4824	1584	11	55.25	1.92	0.00	0.00	44.00	26.00	54.00	124.00						
PYK004	megahit	bin.2	False	True	True	95	742	650	phylum	0.08	0.18	0.52	0.11	k__Bacteria (UID2495)	709858	53.00	91.43	11264	38997	7472	11	72.98	0.66	50.00	0.00	69.00	9.00	46.00	124.00						
PYK004	megahit	bin.3	False	True	True	275	860	799	family	0.61	2.71	0.52	0.18	o__Clostridiales (UID1120)	768711	44.20	91.24	2936	10258	2795	11	51.81	1.09	100.00	0.00	77.00	7.00	40.00	124.00	clostridiales_odb10	0.00	138.00	23.00	103.00	264.00
PYK004	megahit	bin.4	False	True	True	837	1985	1859	kingdom	0.00	0.00	0.88	0.00	o__Actinomycetales (UID1812)	1503385	57.80	87.90	1843	7307	1779	11	53.40	1.28	40.00	0.00	54.00	27.00	43.00	124.00	corynebacteriales_odb10	1.00	276.00	108.00	358.00	743.00
RIG001	megahit	bin.1	False	True	True	420	916	850	family	0.24	0.63	0.62	0.31	o__Clostridiales (UID1120)	753957	47.40	91.78	1781	7696	1778	11	55.38	1.06	0.00	0.00	55.00	28.00	41.00	124.00	clostridiales_odb10	0.00	103.00	36.00	125.00	264.00
RIG001	megahit	bin.10	False	True	False	569	2637	2422	order	0.22	0.55	0.41	0.46	k__Bacteria (UID209)	2484582	61.90	89.85	5933	23849	4358	11	82.17	0.15	100.00	0.00	76.00	19.00	29.00	124.00	synergistetes_odb10	6.00	442.00	20.00	187.00	655.00
RIG001	megahit	bin.11	False	True	True	464	2544	2443	family	0.03	0.07	0.64	0.30	k__Bacteria (UID1452)	2574847	52.20	90.32	7338	26927	5549	11	79.81	4.71	11.11	1.00	81.00	13.00	29.00	124.00	chloroflexi_odb10	3.00	188.00	8.00	72.00	271.00
RIG001	megahit	bin.12	False	True	True	422	1726	1583	family	0.26	0.73	0.44	0.26	c__Clostridia (UID1118)	1624495	56.90	92.16	4701	28985	3804	11	89.94	1.81	66.67	0.00	79.00	13.00	32.00	124.00	clostridiales_odb10	0.00	182.00	26.00	56.00	264.00
RIG001	megahit	bin.13	True	True	True	328	1476	1411	kingdom	0.00	0.00	0.66	0.00	p__Euryarchaeota (UID3)	1432129	26.70	90.56	5334	21040	4339	11	91.54	0.80	0.00						archaea_odb10	1.00	174.00	3.00	16.00	194.00
RIG001	megahit	bin.13	True	True	True	328	1476	1411	kingdom	0.00	0.00	0.66	0.00	p__Euryarchaeota (UID3)	1432129	26.70	90.56	5334	21040	4339	11	91.54	0.80	0.00						methanobacteria_odb10	2.00	689.00	8.00	83.00	782.00
RIG001	megahit	bin.14	True	True	True	50	1759	1664	class	0.04	0.08	0.64	0.34	k__Bacteria (UID2570)	1894835	53.90	88.89	68062	174070	37896	11	98.25	0.18	0.00	1.00	109.00	12.00	2.00	124.00	chlorobi_odb10	2.00	1000.00	6.00	152.00	1160.00
RIG001	megahit	bin.15	False	True	False	398	1935	1872	phylum	0.03	0.06	0.93	0.70	k__Bacteria (UID203)	1918135	57.30	91.85	5881	29393	4819	11	71.62	1.72	0.00	0.00	53.00	15.00	56.00	124.00						
RIG001	megahit	bin.16	False	True	True	627	1823	1618	order	0.05	0.10	0.48	0.27	c__Clostridia (UID1118)	1604634	57.50	90.15	2915	12805	2523	11	72.92	2.04	75.00	0.00	78.00	20.00	26.00	124.00	clostridiales_odb10	0.00	156.00	35.00	73.00	264.00
RIG001	megahit	bin.17	False	True	True	384	2168	2036	order	0.29	0.88	0.58	0.20	p__Actinobacteria (UID2112)	2063553	61.60	89.53	7928	48698	5359	11	88.41	2.42	36.36	1.00	67.00	30.00	26.00	124.00	coriobacteriales_odb10	0.00	412.00	30.00	106.00	548.00
RIG001	megahit	bin.18	False	True	False	1139	2453	2295	kingdom	0.06	0.13	0.80	0.98	p__Actinobacteria (UID2112)	1869041	62.60	87.32	1654	6101	1636	11	64.17	9.98	6.25	1.00	39.00	28.00	56.00	124.00						
RIG001	megahit	bin.19	False	True	True	781	1911	1889	kingdom	0.00	0.00	0.96	0.00	c__Deltaproteobacteria (UID3217)	1462978	61.40	91.64	1981	8790	1873	11	67.94	1.79	25.00	1.00	36.00	25.00	62.00	124.00						
RIG001	megahit	bin.2	False	True	True	562	2604	2507	kingdom	0.00	0.00	0.91	0.00	o__Actinomycetales (UID1530)	2402382	61.90	91.06	5497	33532	4274	11	89.36	3.76	72.73	0.00	68.00	29.00	27.00	124.00	propionibacteriales_odb10	1.00	462.00	47.00	139.00	649.00
RIG001	megahit	bin.3	False	True	True	444	1445	1399	kingdom	0.02	0.04	0.82	0.36	p__Euryarchaeota (UID3)	1310958	28.50	92.01	3370	32491	2939	11	85.22	0.00	0.00						archaea_odb10	1.00	151.00	7.00	35.00	194.00
RIG001	megahit	bin.3	False	True	True	444	1445	1399	kingdom	0.02	0.04	0.82	0.36	p__Euryarchaeota (UID3)	1310958	28.50	92.01	3370	32491	2939	11	85.22	0.00	0.00						methanobacteria_odb10	7.00	631.00	15.00	129.00	782.00
RIG001	megahit	bin.4	False	True	True	525	1451	1311	class	0.16	0.38	0.43	0.15	o__Clostridiales (UID1120)	1242730	46.40	93.06	2592	9585	2344	11	84.65	3.19	60.00	0.00	74.00	20.00	30.00	124.00	clostridiales_odb10	0.00	162.00	34.00	68.00	264.00
RIG001	megahit	bin.5	False	True	True	146	739	653	phylum	0.25	0.69	0.37	0.10	k__Bacteria (UID2495)	767310	35.90	89.20	7201	29168	5184	11	88.66	2.25	33.33	0.00	80.00	10.00	34.00	124.00						
RIG001	megahit	bin.6	False	True	False	802	2035	1810	order	0.15	0.35	0.43	0.53	k__Bacteria (UID209)	1594755	58.00	91.16	2086	7293	1956	11	69.12	1.85	0.00	0.00	53.00	36.00	35.00	124.00						
RIG001	megahit	bin.7	False	True	False	799	2143	1967	family	0.14	0.31	0.47	0.75	c__Deltaproteobacteria (UID3217)	1832514	61.50	90.50	2522	21334	2267	11	80.00	2.74	50.00	0.00	83.00	18.00	23.00	124.00						
RIG001	megahit	bin.8	True	True	True	230	2017	1853	family	0.49	1.91	0.37	0.16	o__Clostridiales (UID1120)	2070895	51.00	89.53	12577	43637	9003	11	91.96	2.52	66.67	0.00	99.00	10.00	15.00	124.00	clostridiales_odb10	1.00	220.00	13.00	30.00	264.00
RIG001	megahit	bin.9	True	True	True	166	1810	1602	family	0.74	6.94	0.26	0.13	k__Bacteria (UID1453)	1938010	55.50	90.63	18440	145003	11604	11	91.93	1.41	25.00	0.00	104.00	10.00	10.00	124.00						
PYK001	megahit	bin.1	True	True	True	231	3160	3044	class	0.08	0.17	0.71	0.18	f__Xanthomonadaceae (UID4214)	3624593	63.30	88.71	25969	102580	15690	11	95.17	1.75	0.00	0.00	120.00	3.00	1.00	124.00	gammaproteobacteria_odb10	2.00	353.00	5.00	6.00	366.00
SPM002	megahit	bin.1	True	True	True	358	2298	2201	kingdom	0.00	0.00	0.93	0.00	o__Actinomycetales (UID1530)	2230015	60.10	89.66	8730	24017	6229	11	95.02	0.00	0.00	0.00	106.00	12.00	6.00	124.00	propionibacteriales_odb10	0.00	541.00	41.00	67.00	649.00
PLV001	megahit	bin.1	False	True	True	246	1550	1466	phylum	0.05	0.10	0.67	0.44	k__Bacteria (UID2570)	1442615	53.80	89.02	9778	46702	5864	11	87.53	0.66	100.00	0.00	93.00	19.00	12.00	124.00	chlorobi_odb10	0.00	795.00	30.00	335.00	1160.00
PLV001	megahit	bin.10	False	True	True	439	2207	2111	kingdom	0.00	0.00	0.71	0.00	f__Actinomycetaceae (UID1531)	2284756	71.20	86.60	6563	30751	5204	11	76.64	4.36	23.08	0.00	57.00	22.00	45.00	124.00	actinobacteria_class_odb10	3.00	214.00	49.00	90.00	356.00
PLV001	megahit	bin.11	False	True	True	486	2120	2078	kingdom	0.00	0.00	0.90	0.00	k__Bacteria (UID203)	1837816	42.30	87.66	4748	24564	3781	11	53.21	3.45	66.67	2.00	50.00	15.00	57.00	124.00						
PLV001	megahit	bin.12	False	True	True	82	617	517	class	0.18	0.46	0.37	0.25	k__Bacteria (UID1453)	611683	38.30	90.33	10873	41997	7369	11	61.03	0.95	50.00	0.00	73.00	11.00	40.00	124.00						
PLV001	megahit	bin.13	True	True	True	253	1871	1740	kingdom	0.03	0.06	0.64	0.25	p__Euryarchaeota (UID3)	1813423	26.50	87.02	10659	37585	7056	11	99.20	0.00	0.00						archaea_odb10	0.00	190.00	2.00	2.00	194.00
PLV001	megahit	bin.13	True	True	True	253	1871	1740	kingdom	0.03	0.06	0.64	0.25	p__Euryarchaeota (UID3)	1813423	26.50	87.02	10659	37585	7056	11	99.20	0.00	0.00						methanobacteria_odb10	0.00	756.00	3.00	23.00	782.00
PLV001	megahit	bin.14	True	True	True	183	2041	1879	genus	0.36	1.23	0.28	0.16	o__Clostridiales (UID1120)	2131702	50.80	89.64	18224	63850	11648	11	93.36	1.05	100.00	0.00	107.00	6.00	11.00	124.00	clostridiales_odb10	1.00	232.00	8.00	23.00	264.00
PLV001	megahit	bin.15	False	True	False	747	2128	1959	genus	0.14	0.34	0.46	0.77	c__Deltaproteobacteria (UID3217)	1845587	62.20	90.74	2886	9475	2457	11	86.70	2.06	85.71	1.00	86.00	21.00	16.00	124.00						
PLV001	megahit	bin.16	False	True	True	581	1850	1832	kingdom	0.00	0.00	0.95	0.00	f__Pasteurellaceae (UID4932)	1529482	43.50	90.74	3213	13639	2632	11	79.94	2.79	42.86	6.00	66.00	20.00	32.00	124.00	pasteurellales_odb10	0.00	677.00	74.00	349.00	1100.00
PLV001	megahit	bin.17	False	True	True	580	1893	1856	kingdom	0.00	0.00	0.93	0.00	o__Lactobacillales (UID355)	1615366	46.90	90.43	3405	17059	2775	11	87.85	4.81	57.14	0.00	99.00	13.00	12.00	124.00	lactobacillales_odb10	3.00	282.00	51.00	66.00	402.00
PLV001	megahit	bin.18	True	True	False	319	2019	1833	order	0.03	0.06	0.47	0.89	c__Clostridia (UID1118)	2021573	55.60	90.82	8707	56860	6317	11	92.85	0.23	100.00	0.00	102.00	10.00	12.00	124.00	clostridiales_odb10	0.00	222.00	18.00	24.00	264.00
PLV001	megahit	bin.2	True	True	False	237	2065	1956	class	0.04	0.07	0.64	0.51	k__Bacteria (UID2570)	2013464	54.40	89.19	15317	43632	8495	11	97.24	1.95	80.00	0.00	112.00	10.00	2.00	124.00	chlorobi_odb10	6.00	981.00	33.00	140.00	1160.00
PLV001	megahit	bin.3	True	True	True	259	2070	1763	phylum	0.17	0.42	0.41	0.16	k__Bacteria (UID1453)	2154505	55.60	90.06	17189	85413	7920	11	97.44	0.85	0.00	0.00	110.00	8.00	6.00	124.00						
PLV001	megahit	bin.4	False	True	True	736	1741	1564	order	0.03	0.06	0.49	0.40	c__Clostridia (UID1118)	1422230	56.90	90.36	1976	13007	1901	11	65.59	1.55	100.00	0.00	74.00	21.00	29.00	124.00	clostridiales_odb10	0.00	128.00	47.00	89.00	264.00
PLV001	megahit	bin.5	True	True	True	178	2134	2003	phylum	0.19	0.45	0.59	0.22	p__Actinobacteria (UID2112)	2362083	58.20	85.16	21616	82041	13270	11	98.31	0.20	0.00	1.00	112.00	6.00	5.00	124.00						
