Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	GCA_013335335.1	GCA_013335765.1	GCF_000020465.1	GCF_001509575.1	EMN001-megahit_021	GOY005-megahit_001	PES001-megahit_018	PLV001-megahit_001	PLV001-megahit_002	RIG001-megahit_014	specificity	COG_category	Description	Preferred_name	EC	KEGG_ko	KEGG_Module	KEGG_Reaction	KEGG_rclass	PFAMs
infB		Translation initiation factor IF-2	10	10	1	191	462				545	2885	2186	00922	01750	00317	01384	00671	00528	01371	01054	01516	00685	none									
rpmI		50S ribosomal protein L35	10	10	1	191	6598				194	194	194	01359	01507	00166	01438	00753	00562	00707	00041	00030	00945	none									
mreB		Cell shape-determining protein MreB	10	10	1	191	769				1028	1028	1028	00592	00257	00536	01009	01611	00936	01598	00469	00464	01543	none									
group_38		hypothetical protein	10	10	1	191	5762				980	1217	1193	00160	01370	02230	01177	00251	00206	00225	00538	00829	00241	none									
rpsN2		Alternate 30S ribosomal protein S14	10	10	1	191	5868				269	269	269	00557	01452	02299	01372	00315	01545	01046	01182	00923	00177	none									
rplN		50S ribosomal protein L14	10	10	1	191	5874				368	368	368	00561	01456	02303	01368	00319	01358	01042	01155	00253	00173	none									
sigA		RNA polymerase sigma factor SigA	10	10	1	191	276				194	899	828	01056	01596	00428	02022	00580	01049	00058	00513	00104	00851	none									
rpsA		30S ribosomal protein S1	10	10	1	191	388				1448	1775	1737	00513	00163	00370	00832	00623	00974	00099	00062	00200	00637	none									
rpsR		hypothetical protein	10	10	1	191	6580				212	263	247	01354	01502	00161	01433	00758	00557	00712	00036	00035	00940	none									
group_64		hypothetical protein	10	10	1	191	3372				632	1199	1137	01490	00310	01004	01696	00994	01188	00548	00238	00242	00372	none									
acpP		Acyl carrier protein	10	10	1	191	6617				236	236	236	01568	01518	00179	01050	00745	01211	00699	00347	00022	00953	none									
pstB3		Phosphate import ATP-binding protein PstB 3	10	10	1	191	4934				158	860	662	01393	02010	01684	01533	01212	00326	01108	00745	01262	00534	none									
pdaD		Pyruvoyl-dependent arginine decarboxylase	10	10	1	191	706				545	605	551	01735	00278	00557	01859	01594	00465	01419	00308	00756	01470	none									
csmA_1		Bacteriochlorophyll c-binding protein	10	10	1	191	5706				242	245	242	00158	01368	02228	01175	00249	00204	00223	00536	00831	00243	none									
atpE		ATP synthase subunit c	10	10	1	191	6378				221	221	221	00600	01107	02579	00410	01328	01191	01139	00933	01297	01560	none									
rho		Transcription termination factor Rho	9	9	1	191	428	100.0	150.0		773	1289	1231	02032	01726	00341	00610	00647	01423	00124		01740	00661	none									
prfB		Peptide chain release factor RF2	9	9	1	191	6167	96.0	1282.0		749	797	781	00130	00970	02465		00812	00588	00767	00491	00597	01513	none									
smc		Chromosome partition protein Smc	9	9	1	191	5444	95.0	2454.0		266	3536	2852		01122	02066	00688	00052	00723	01191	01207	00114	00045	none									
carB_1		Carbamoyl-phosphate synthase large chain	9	9	1	191	841	96.0	442.0		1061	1562	1461		01006	00488	00737	00545	00281	00022	00152	00525	00886	none									
atpD		ATP synthase subunit beta	9	9	1	191	6450	95.0	3506.0		215	1388	1170		02124	00029	00355	01272	01591	00895	01146	00345	01232	none									
crh		HPr-like protein Crh	9	9	1	191	5951	96.0	918.0		266	266	266	02199	01806	02368		01062	00917	00789	00652	01188	01343	none									
ndhA		NAD(P)H-quinone oxidoreductase subunit 1	9	9	1	191	2851	97.0	647.0		917	1118	1083	01185	00623	00882	00237	01656	00393	01001		01493	01319	none									
soj		Sporulation initiation inhibitor protein Soj	8	8	1	191	5599	95.0	2556.0		797	797	797		01959	02137		00099	01015	01340	01109	00372	00092	none									
tuf		Elongation factor Tu	8	8	1	191	5892	96.0	818.0		314	1181	1004		01468	02315	01356	00331		01030	01184	00265	00161	none									
lpdG		Dihydrolipoyl dehydrogenase	8	8	1	191	1564	95.0	2891.0		206	1436	1211	01617	00199	01424	01751	00169	00633	00145			00322	none									
rpsJ		30S ribosomal protein S10	8	8	1	191	5890	96.0	782.0		311	311	311		01467	02314	01357	00330		01031	01185	00264	00162	none									
group_74		hypothetical protein	8	8	1	191	2129	95.0	3141.0		155	434	397	01501	00932	01225		01400	00254	00459	00248		01033	none									
clpB_2		Chaperone protein ClpB	7	7	1	191	5961	96.0	927.0		230	1325	1050		01812	02374		01068	01554	00795	01323	01737		none									
sucA		2-oxoglutarate dehydrogenase E1 component	6	6	1	191	1523	95.0	2838.0		1580	2969	2523					00167	01550	00143	01197	00184	00160	Chlorobium MAG	C	oxoglutarate dehydrogenase (succinyl-transferring) activity	sucA	1.2.4.2,4.1.1.71	ko:K00164,ko:K01616	M00009,M00011,M00032	R00621,R01933,R01940,R03316,R08549	RC00004,RC00027,RC00627,RC02743,RC02833,RC02883	2-oxoacid_dh,2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr
