43	GCA_001622165.1.fna	GCA_002794105.1.fna	GCA_011054385.1.fna	GCA_011372505.1.fna	GCA_011372555.1.fna	GCA_013335335.1.fna	GCA_013335765.1.fna	GCA_014384625.1.fna	GCA_016776555.1.fna	GCA_019163155.1.fna	GCA_019163275.1.fna	GCF_000006985.1.fna	GCF_000012485.1.fna	GCF_000015125.1.fna	GCF_000020465.1.fna	GCF_000020505.1.fna	GCF_000020525.1.fna	GCF_000020625.1.fna	GCF_000020645.1.fna	GCF_000168715.1.fna	GCF_001509575.1.fna	GCF_001747405.1.fna	GCF_003182595.1.fna	GCF_003968655.1.fna	GCF_003970105.1.fna	GCF_006265165.1.fna	GCF_006265245.1.fna	GCF_008586845.1.fna	GCF_008634005.1.fna	GCF_009807145.1.fna	GCF_011601315.1.fna	GCF_013357945.1.fna	GCF_015233875.1.fna	GCF_015234275.1.fna	PLV001_002.fna	PES001_018.fna	GOY005_001.fna	GOY006_RA.fna	TAF017_RA.fna	PLV001_001.fna	RIG001_014.fna	EMN001_021.fna
GCA_001622165.1.fna	100	NA	NA	77.15097	NA	NA	NA	NA	NA	NA	NA	77.817657	92.756836	NA	NA	77.629616	NA	NA	NA	NA	NA	77.978378	NA	80.019867	80.442108	77.912781	NA	80.743851	80.375793	79.978317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002794105.1.fna	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_011054385.1.fna	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.760803	NA	NA	NA	NA	NA	NA	NA	NA	77.86499	NA	NA	NA	NA	79.731445	79.555618	79.616463	NA	NA	NA	NA	NA	NA	NA	NA
GCA_011372505.1.fna	77.15097	NA	NA	100	86.372131	NA	NA	NA	NA	NA	NA	83.06076	77.006897	NA	NA	88.985733	NA	NA	NA	NA	NA	82.888062	NA	NA	NA	82.924706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_011372555.1.fna	NA	NA	NA	86.372131	100	NA	NA	NA	NA	NA	NA	80.974899	NA	NA	NA	85.669006	NA	NA	NA	NA	NA	81.486633	NA	NA	NA	81.289444	NA	NA	77.510559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_013335335.1.fna	NA	NA	NA	NA	NA	100	98.859665	NA	NA	NA	NA	NA	NA	78.050613	98.740952	NA	NA	NA	NA	77.035316	92.545563	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.083115	NA	NA	NA	77.202454	77.087105	76.765152	76.834122	77.055351	76.426788	77.088379	77.100998
GCA_013335765.1.fna	NA	NA	NA	NA	NA	98.859665	100	NA	NA	NA	78.554802	NA	NA	78.879211	99.494255	NA	NA	NA	77.342552	76.993095	92.97654	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.320251	NA	NA	NA	77.308968	77.300842	77.015686	77.171951	77.387329	76.795067	77.418785	77.559952
GCA_014384625.1.fna	NA	NA	NA	NA	NA	NA	NA	100	99.164581	NA	NA	NA	NA	NA	NA	NA	NA	78.872612	NA	NA	NA	NA	77.933792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_016776555.1.fna	NA	NA	NA	NA	NA	NA	NA	99.164581	100	NA	NA	NA	NA	NA	NA	NA	NA	77.854843	NA	NA	NA	NA	78.03241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_019163155.1.fna	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	77.933571	NA	NA	78.567406	NA	NA	NA	NA	99.955132	78.403351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.722092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
