binID	sample	metaWRAP_binID	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GUNC.n_contigs	GUNC.divergence_level	GUNC.contamination_portion	GUNC.n_effective_surplus_clades	checkM.genome_size	checkM.GC	checkM.coding_density	checkM.N50_contigs	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	meanCov	breadth	polyrate
ECO002_001	ECO002	bin.1	True	True	True	True	560	kingdom	0.0	0.0	1658365	31.6	90.37	3544	p__Euryarchaeota (UID3)	94.27	0.0	0.0	37.4905	0.9994	0.0012
ECO002_002	ECO002	bin.2	True	True	True	True	177	genus	0.24	0.63	1554087	46.4	89.22	13511	o__Clostridiales (UID1120)	90.05	0.35	0.0	63.8147	0.9998	0.0011
ECO002_003	ECO002	bin.3	False	False	False	False	1153	order	0.02	0.05	1610612	68.5	86.4	1340	k__Bacteria (UID203)	12.93	0.0	0.0	6.9732	0.9974	0.0054
ECO002_004	ECO002	bin.4	True	False	True	True	536	order	0.06	0.14	1109036	57.2	90.82	2168	k__Bacteria (UID209)	70.85	0.34	0.0	27.0975	0.9987	0.0025
ECO002_005	ECO002	bin.5	True	False	True	True	221	class	0.06	0.13	589919	43.2	89.3	2745	o__Clostridiales (UID1120)	54.87	0.0	0.0	27.7506	0.9994	0.002
ECO002_006	ECO002	bin.6	False	False	True	True	58	class	0.03	0.05	617681	45.2	88.54	16334	c__Clostridia (UID1085)	44.01	0.0	0.0	75.1891	0.9999	0.0005
ECO002_007	ECO002	bin.7	True	False	True	True	44	family	0.05	0.1	588966	38.0	91.31	18617	k__Bacteria (UID1452)	66.74	0.0	0.0	74.3242	0.9998	0.0006
ECO002_008	ECO002	bin.8	True	False	True	True	469	class	0.06	0.14	1181128	51.1	91.07	2789	o__Clostridiales (UID1212)	70.45	0.89	100.0	28.994	0.999	0.0008
ECO002_009	ECO002	bin.9	True	False	True	True	363	kingdom	0.0	0.0	2404109	56.4	91.28	9703	k__Bacteria (UID1452)	88.18	2.73	0.0	67.822	0.9997	0.0027
ECO002_010	ECO002	bin.10	True	False	True	True	169	genus	0.19	0.46	703635	36.0	89.63	5423	k__Bacteria (UID1452)	62.78	3.32	80.0	38.6988	0.9994	0.0007
ECO002_011	ECO002	bin.11	True	True	True	True	139	genus	0.63	3.17	1873274	57.1	90.22	21455	o__Clostridiales (UID1120)	93.84	1.44	66.67	66.7081	0.9999	0.0008
